Cargo,Empresa,Local,Link
Desenvolvedor/Desenvolvedora de Software - Júnior,Equifax,"Barueri, SP",https://br.indeed.com/rc/clk?jk=c43fff57b5760829&bb=VWM9P-iLiXROInjppabyC3Z4J8C5WOOB2AS7got_WVg3OJC0Z9fPhWBW5YvjFLsHznxHn8Y4mADS2D3EsZ2K5jiG1yP-JmcPxA8txnrA5qw%3D&xkcb=SoDn67M3DIsGH_WJRB0ObzkdCdPP&fccid=34c446722f3cf576&vjs=3
Desenvolvedor Backend (Python) (Sênior),UDS Tecnologia,"Home office in São Paulo, SP",https://br.indeed.com/rc/clk?jk=4abc72378e77011f&bb=VWM9P-iLiXROInjppabyCxeD05Gt5fScdCcLDBYPT0zgJnJZ_1P4PR9vQGOYedS8ZP5L5QZTTnK9b2uoe0ThOxeYtJGtuDW38KV3fynC9UE%3D&xkcb=SoB667M3DIsGH_WJRB0NbzkdCdPP&fccid=9121ec3e3fd09324&vjs=3
Programador Python,Curriculum.com.br,"Rio de Janeiro, RJ",https://br.indeed.com/rc/clk?jk=5b7ff0e76605dda1&bb=VWM9P-iLiXROInjppabyCw0Slrgr13tOwOadDyWbYcPPH19rdPgp374ziwUnMBD7kdgVJGhOFOrJD6O1YT8EOzNYy-kh7bI-MwVTF5wLfdA%3D&xkcb=SoDO67M3DIsGH_WJRB0MbzkdCdPP&fccid=22d7ce555383096d&vjs=3
Desenvolvedor (a) Back end PYTHON,Bravi,"São Paulo, SP",https://br.indeed.com/rc/clk?jk=6f8ff8d74a141ae1&bb=VWM9P-iLiXROInjppabyC_rUBOvT3YVxq-wBd5zdoIrHnZgjkXQD0Hq2u8CZSZPlspKV9P2nyAiUR5pgTsVXJGVa1OD1GesnUo3EAWXPfRM%3D&xkcb=SoAn67M3DIsGH_WJRB0DbzkdCdPP&fccid=cd7e66bacfe8b75f&vjs=3
Desenvolvedor Python,BuscarVagas - Empregos e Consultoria Brasil,"Blumenau, SC",https://br.indeed.com/rc/clk?jk=ff0922cc284b2712&bb=VWM9P-iLiXROInjppabyC54RAZyu6hr3VF3tCCr86DGYOc39IXXy0jBzpIH0OVMWU0T-yfhPZ_sy1jJrc7dkcUS7UHY-BgUvI7OonyR0yt8%3D&xkcb=SoCT67M3DIsGH_WJRB0CbzkdCdPP&fccid=dd616958bd9ddc12&vjs=3
Analista de Dados - Foco em Concessão de Crédito,Sicredi,,https://br.indeed.com/rc/clk?jk=322fe86ec5dbf97e&bb=VWM9P-iLiXROInjppabyC-2azYuFcxtDVRMFX_H_EQOPI9r4WtLoLxcCO_CRsnm_juTKbgykmbIrl8gzJOZU8Z0-7f8aolhfRVXotxgeth4%3D&xkcb=SoAO67M3DIsGH_WJRB0BbzkdCdPP&fccid=0bedb393cb03c383&vjs=3
Estagiário Python (Híbrido),XEFF SISTEMAS,"Belo Horizonte, MG",https://br.indeed.com/rc/clk?jk=8172acfbc5c61cdc&bb=VWM9P-iLiXROInjppabyC_ecQGCvuY9QVTplKICAJCaMY4QwutwNKV64H0aN9imFNQjCxBPzoQlNyyucN73yCgNsZiKlwgA2cIoSevRUtFA%3D&xkcb=SoC667M3DIsGH_WJRB0AbzkdCdPP&fccid=eaa7324caafd6f1d&vjs=3
Desenvolvedor Python,LINCE,"Curitiba, PR",https://br.indeed.com/rc/clk?jk=7cc527c248779fee&bb=VWM9P-iLiXROInjppabyC3fMtmy9OGkT3eFAJQWpfy5PG-H6euFaFiQ9AY7mgeaDRsyyqEtvjwpIhMxJeEQRG8finfMKb0lMAJeUli2YoW0%3D&xkcb=SoA067M3DIsGH_WJRB0HbzkdCdPP&fccid=c5cf41b73b496ff1&cmp=Lince-Inform%25C3%25A1tica&ti=Python&vjs=3
Pessoa Desenvolvedora Back-end Python - Junior [SP ou JF],Open Co,"Remoto híbrido in São Paulo, SP",https://br.indeed.com/rc/clk?jk=a179e082b3d253f3&bb=VWM9P-iLiXROInjppabyC6TNzDU4tCbdQqJD_Ji13rqp_B3bl__3HXiwIEHyhAvyU6tCaWQLEEGzZLKF7GubuwGKJ7DJjvZi-R7tEHaLO0c%3D&xkcb=SoCA67M3DIsGH_WJRB0GbzkdCdPP&fccid=98d28f69e5b7c531&vjs=3
Python Developer Pleno,CIAL Dun & Bradstreet,"Home office in São Paulo, SP",https://br.indeed.com/rc/clk?jk=0aa8eb38a29ac6e0&bb=VWM9P-iLiXROInjppabyC-o4gUXH32mYCmI5VP5Dc-ej9qEuFW2pa7cA9EZcz7qdo7kkdM1Xz5LrezkaKmcD9OSjtID26DUNyAAyINW8XpI%3D&xkcb=SoAd67M3DIsGH_WJRB0FbzkdCdPP&fccid=8228de18d47365fd&vjs=3
