Cargo,Empresa,Local,Link
DESENVOLVEDOR BACKEND PYTHON PL/SR,Sinqia,"Home office in São Paulo, SP",https://br.indeed.com/rc/clk?jk=20d8e6fb24c040e7&bb=pzimnk7WS_k8X28a3GcwSCZLzj7YJS7jqcoAlSNGlRHb6ciWzWO3T-o8x3ITrvqE_hgFTtAU52CRHny9W_kDv5n_mZUvVOZXr4tPUJbXJeo%3D&xkcb=SoBq67M3DIsdX8WxNp0AbzkdCdPP&fccid=83849b17246b3c1e&vjs=3
Desenvolvedor(a) Full Stack,G5 PARTNERS,"São Paulo, SP",https://br.indeed.com/rc/clk?jk=5818a5a961dae626&bb=pzimnk7WS_k8X28a3GcwSLPiKPg_RI1tQDZiO_K6GalCkaKFFb_40U_ajzZWSlnYgk-wfbLJX9FHEFiZPbWjSG8ZFnJq5bpDK76QU96jRac%3D&xkcb=SoDk67M3DIsdX8WxNp0HbzkdCdPP&fccid=d6d76167481d381c&vjs=3
Desenvolvedor Python / Pesquisa + Desenvolvimento - Trabalho Remoto,BairesDev,"Home office in São José dos Campos, SP",https://br.indeed.com/rc/clk?jk=1fb13102d315ba69&bb=pzimnk7WS_k8X28a3GcwSD55X2CayTQj9pC1cuamXWaARPv0aPZ4z_wwgdH2xJOY7X1aElgYONSZajysZXiGioQKpyAx0GP6sAQvHfIqdDc%3D&xkcb=SoBQ67M3DIsdX8WxNp0GbzkdCdPP&fccid=29707109e86166e5&vjs=3
Cientista de Dados Jr,Crefaz,"Maringá, PR",https://br.indeed.com/rc/clk?jk=179b47e74f514bb2&bb=pzimnk7WS_k8X28a3GcwSDYyF9XPgrdlnPV60ha4WY0LofOyzJltq-6HPaKSUAGw-COIqS-5mOv_cmrwZ581etHvhNCoVkN-tUunA5LRdJA%3D&xkcb=SoDN67M3DIsdX8WxNp0FbzkdCdPP&fccid=c04e72a65ba74253&vjs=3
Programador de Sistemas,ESPECIALISTAS INTELIGENCIA CONTABIL LTDA,"Goiânia, GO",https://br.indeed.com/rc/clk?jk=74ce6eff7a29e66a&bb=pzimnk7WS_k8X28a3GcwSD5VCWiaKb79nJMJ7JrooJwhGE62OGEzBjRjF0Km9kjVROlmnCLM0fDTnBOBGdY1bEbE4ThqIeThy4MgWgEqdF8%3D&xkcb=SoB567M3DIsdX8WxNp0EbzkdCdPP&fccid=dd616958bd9ddc12&vjs=3
Cientista de Dados Jr,Crefaz,"Maringá, PR",https://br.indeed.com/rc/clk?jk=179b47e74f514bb2&bb=vFf1HhpFTe4RombmJlBSbUvAkjk-875a5iK4L0L86BH2xIfdZ5XuwUEdrN5otAFTtlRUCIUWCbtybc-elRi1UhPFPXV1l0uekHZR5DOBKrw%3D&xkcb=SoDk67M3DIscBj2JRB0LbzkdCdPP&fccid=c04e72a65ba74253&vjs=3
Programador Júnior,IND SERVICOS PARA EVENTOS,"Itapema, SC",https://br.indeed.com/rc/clk?jk=66c05d1cf5687a34&bb=vFf1HhpFTe4RombmJlBSbQhCbQtqY_HMkTFwnqiEwJ9Hz5tRJYRopC5n7gL1t1X3awb53tQdnwEm0PvdpxEMIOCIF5iLIFIaraxYYaKDNd0%3D&xkcb=SoBQ67M3DIscBj2JRB0KbzkdCdPP&fccid=be96db644f03ff04&vjs=3
Desenvolvedor Backend Pleno - Python/Django,Seazone,,https://br.indeed.com/rc/clk?jk=871369645f996d5f&bb=vFf1HhpFTe4RombmJlBSbWBPrjh5Cs3SJ1hob4Kbx_ODPiUTtOTsRVuSfD7cRV3k2qbR6LeddDi6DmRf1XC3HpC6RN2512WGDlWkFkRKzNw%3D&xkcb=SoDN67M3DIscBj2JRB0JbzkdCdPP&fccid=e326532d41ab2aca&vjs=3
Sr Backend Developer - Python - (100% Remoto),invillia,,https://br.indeed.com/rc/clk?jk=e5f1fd1be11df687&bb=vFf1HhpFTe4RombmJlBSbSN_45muZkQLF9E4EQi5_0EFjsYRr6UxPs1tkP-s3wLYMe0UL4CocKDWKPwXnlGiKSHVZy6-BM7jGJDgPS5tGrE%3D&xkcb=SoB567M3DIscBj2JRB0IbzkdCdPP&fccid=f185a6210cec2dc0&vjs=3
Desenvolvedor Phyton Júnior,SeedTS Seed Technology Solutions,"Home office in São Paulo, SP",https://br.indeed.com/rc/clk?jk=2d94912bce1e93dc&bb=vFf1HhpFTe4RombmJlBSbQLZ5-Sfhh0MpRo-0tsN_ks2F_wIBzGi0aOCMDHucqoyUhLKWvWlnhe1xEclRYRLOVFN1Nyvc88K8_JpaEdOiiA%3D&xkcb=SoD367M3DIscBj2JRB0PbzkdCdPP&fccid=4c55ebbee4c7b94a&cmp=SEEDTS-SEED-TECHNOLOGY-SOLUTIONS&ti=Programador+%26+Desenvolvedor&vjs=3
Sr Backend Developer - Kotlin/Python - (100% Remoto),invillia,,https://br.indeed.com/rc/clk?jk=c8a8ba00c97f7b41&bb=vFf1HhpFTe4RombmJlBSbRTmcCYDOx3LW7a06USTG2hi1vAlFt9uvwG5e5-RMRjjJz5tV8eyJVIXmmSZpeRfQi3JlUayf-nLF77PgbG3Tm4%3D&xkcb=SoBD67M3DIscBj2JRB0ObzkdCdPP&fccid=f185a6210cec2dc0&vjs=3
Engenheiro de Dados Júnior,Cadastra,,https://br.indeed.com/rc/clk?jk=dce881143a52b075&bb=vFf1HhpFTe4RombmJlBSbV2iNikUgS9RvfADrMOxdvhTCCzdzRlT97oTm82KWIAfxm0lM6P4f5CZYDhflZpvDLBS78IwgyBPpdFB4cj0jqU%3D&xkcb=SoDe67M3DIscBj2JRB0NbzkdCdPP&fccid=599957f551c7eff1&vjs=3
Engenheiro de dados junior,Netvagas,,https://br.indeed.com/rc/clk?jk=b492abdbd69e9f54&bb=vFf1HhpFTe4RombmJlBSbQxgLaAORWJ3ZeC0bkOoZxtWe7JjNqSBkB5TWsOk4faAkJ2Z3tSYNCRxQZ3PL_3v89zQBK5fNI5GC1V-w3AiHC8%3D&xkcb=SoBq67M3DIscBj2JRB0MbzkdCdPP&fccid=248e71f02a698bfc&vjs=3
Desenvolvedor Python autêntico - Trabalho Remoto,BairesDev,"Home office in Sorocaba, SP",https://br.indeed.com/rc/clk?jk=ee1521d742d94bba&bb=vFf1HhpFTe4RombmJlBSbUmiF3cNEE2Y85zZ1_tL9S4zIBnGNgGrn93yEDjSTA4jYuu4PGF82omb9_IyWoB3HzlJIMk5iy9qSRDowFWjYaA%3D&xkcb=SoCD67M3DIscBj2JRB0DbzkdCdPP&fccid=29707109e86166e5&vjs=3
[ANATEL] Analista de Dados Sênior Python,First Decision,,https://br.indeed.com/rc/clk?jk=cf9587e88b14c2a6&bb=vFf1HhpFTe4RombmJlBSbc59y3MryFneY5PIcT9mYwcySuHOnacm3ax-_t9IGIlcKpS0eQC7iB9yDTfdKN0eHfvB5L-pPErbn3l1Ni4PM94%3D&xkcb=SoA367M3DIscBj2JRB0CbzkdCdPP&fccid=79b0e004e2699bee&vjs=3
DESENVOLVEDOR PYTHON – SÊNIOR,Tria Software,"São José dos Campos, SP",https://br.indeed.com/rc/clk?jk=7750470a77312a17&bb=vFf1HhpFTe4RombmJlBSbXC_mdjwev5qy77qHerrRv4Z57LqVTxuZBwcDav-imMLhehJPJ33ViJrn-pjmMdyaSmzdBl21zpgFuH_dsnzFro%3D&xkcb=SoCq67M3DIscBj2JRB0BbzkdCdPP&fccid=3a21a11aa04a6493&vjs=3
Vaga PYTHON,CD2 Retail Tech,,https://br.indeed.com/rc/clk?jk=c37d3562c8bac97d&bb=vFf1HhpFTe4RombmJlBSbeMrqkuupIL0Yl6Z3pbOFRqOKEBqtu73r4wcUE3PU5aBx6Fil_HJe9g9o5m2NITSBp8P3oTSpW-wXKzwcZKoa8k%3D&xkcb=SoAe67M3DIscBj2JRB0AbzkdCdPP&fccid=cb5e434c08ab79dd&vjs=3
Desenvolvedor Python,DNA FINANCEIRO,"Sorocaba, SP",https://br.indeed.com/rc/clk?jk=a3bf4756bebf2cd9&bb=vFf1HhpFTe4RombmJlBSbVtyoTuzCuDEyEF0EaEyiaTv614ydBcSzPo8pFUtbY1ocjvQjsRmSDCBhfLftjb1eayoXP9wiTi5OKJsP8Tib1k%3D&xkcb=SoCQ67M3DIscBj2JRB0HbzkdCdPP&fccid=86e2af0ce5adc593&vjs=3
Analista de Desenvolvimento,Sanchez & Sanchez Sociedade de Advogados,"Ribeirão Preto, SP",https://br.indeed.com/rc/clk?jk=efbe5a06c8ff00a4&bb=vFf1HhpFTe4RombmJlBSbavNmCJ6JrrAW0l_qEMJyRoV3FLMFPXQd48K8WzaWOXu90JA6583GrGAwAY6AcRfJ1agZK_DHn9SI33y7URMUAM%3D&xkcb=SoAk67M3DIscBj2JRB0GbzkdCdPP&fccid=6c6ee863b8fac421&vjs=3
Pleno SRE,Impulso,,https://br.indeed.com/rc/clk?jk=0bb18a200044c41f&bb=vFf1HhpFTe4RombmJlBSbU4XW0IfZJoHkqvI8ybtD_Klf0v7sWy__sU-qletjk-_hgFKcNj19A5sGDjlmWPGzlgzs4g-cN99oWgeyezvD1M%3D&xkcb=SoC567M3DIscBj2JRB0FbzkdCdPP&fccid=667b980b4c7d02ff&vjs=3
Desenvolvedor(a) de Software - Python / Node.js,Grupo Hub,"Home office in São Paulo, SP",https://br.indeed.com/rc/clk?jk=28bbe3317921a3c7&bb=WHV8CkejY0jprDS1HkWdoQVKeIr_gntWjb04lBpbyOT5_mFwnLtk-mnDwoaw9lcQsWYrOfEZqecKF3zbHkQYfEdUy7nShllQjifL54cZ8n4%3D&xkcb=SoD867M3DIsbB9WeDR0LbzkdCdPP&fccid=7d530e3b38454346&vjs=3
CIENTISTA DE DADOS,EXATO DIGITAL LTDA.,"Home office in São Paulo, SP",https://br.indeed.com/rc/clk?jk=c9dbcefba5e3451d&bb=WHV8CkejY0jprDS1HkWdoTw20tET3A7AWGG_i9Mbx2Pvu4jHF1I60ERX1UTn-LG91ukZ632WYoX9N2k9svNS7r8qvWu70IZHhPyiwCl-XqU%3D&xkcb=SoBI67M3DIsbB9WeDR0KbzkdCdPP&fccid=f2f841aafb5460e9&vjs=3
Analista de Dados (SQL e Python),Turing.com,,https://br.indeed.com/rc/clk?jk=d34ba2b2f0a61561&bb=WHV8CkejY0jprDS1HkWdoT_ZyyHwJ8OSAnEzIVfLYrL-Y01Ma1TKQhapoinE88GRjWYAbHMdtJrrm6RKiSKRTUjg9IZMOHN49YpjoonoqiA%3D&xkcb=SoDV67M3DIsbB9WeDR0JbzkdCdPP&fccid=2d71fc355eaef8f5&cmp=turing&ti=Analista+De+Dados&vjs=3
Instrutor PYTHON,Informatize,"Novo Hamburgo, RS",https://br.indeed.com/rc/clk?jk=f16d5e82bdc56421&bb=WHV8CkejY0jprDS1HkWdoRsdcWci8lFRtEY_6BhbmQBO55nJgoFsk12sMPu4b6NW82F3MXjyptaCQfZ9m1qBqS_Cw7mo6IaVTlBD9zijCYQ%3D&xkcb=SoBh67M3DIsbB9WeDR0IbzkdCdPP&fccid=df8dab4849286e41&vjs=3
Assistente de Análise,Monett,,https://br.indeed.com/rc/clk?jk=6d6059a4276d3f8e&bb=WHV8CkejY0jprDS1HkWdoTJMnDUMQIsXv1Y7a0IJXLKUzGFm9h9285rjlLddg_HoAqU9WTjiCP-oDzyq_K45IwtQ0KAElM_gFwvTZAS4-Nc%3D&xkcb=SoDv67M3DIsbB9WeDR0PbzkdCdPP&fccid=b7f577f47cca62e6&vjs=3
Desenvolvedor(a) Full-stack Python,GeekHunter,,https://br.indeed.com/rc/clk?jk=969a8652fbc059f1&bb=WHV8CkejY0jprDS1HkWdoUzdxZBAK8KqP7XvBvHHDEBcXlx61w9UIRaxlOoDBj2767LdZDglfsSy0cVDIx8jYX82Nz9I6ORp5_5K6LgwvSY%3D&xkcb=SoBb67M3DIsbB9WeDR0ObzkdCdPP&fccid=9ba8dec3013c0c90&vjs=3
Analista de TI,Dias de Rh,"São José dos Pinhais, PR",https://br.indeed.com/rc/clk?jk=78ae4d8cb42bb84b&bb=WHV8CkejY0jprDS1HkWdoWc6UyjIxOJTVgEajxs6ZScoxW7KQ5ohw9iFAuHvMrgCvBFQAyMJFtyGkcSjF5nqkR2L7lajPi0mR3hgpLeNeOY%3D&xkcb=SoDG67M3DIsbB9WeDR0NbzkdCdPP&fccid=452c10453519e9da&cmp=Dias-de-Rh&ti=Analista+De+Ti&vjs=3
Analista de Desenvolvimento Backend,Inovally Inovação para Transformar o Setor Público,"Home office in Cuiabá, MT",https://br.indeed.com/rc/clk?jk=190f0cfcc9121f3b&bb=WHV8CkejY0jprDS1HkWdoSJ-WnLNJW6cPHtgk9zp_SlXj_0SD_f81QdESgO-XnMIVnYxIFkM3okhCipdi9Qe6FSVPyG4VgB6_hhDgJNFAZs%3D&xkcb=SoBy67M3DIsbB9WeDR0MbzkdCdPP&fccid=dd616958bd9ddc12&vjs=3
"Freelance Python Developer (Remote, South / Latin America)",VT Enterprise,"Home office in São Paulo, SP",https://br.indeed.com/rc/clk?jk=6225e0ae5b103a74&bb=WHV8CkejY0jprDS1HkWdoQWp6GnFgx6Qtx2FwwraXlecXiSaVmIDvCgz8UY7CnitjHEFQ7gHHyso6U7Q-zW636Uqc7b_CjBlqmIwYRnlp-w%3D&xkcb=SoAv67M3DIsbB9WeDR0CbzkdCdPP&fccid=16255684da3d9911&vjs=3
Pessoa Desenvolvedora de Jogos II (Unity) | Tapps Games,Tapps Games,,https://br.indeed.com/rc/clk?jk=f30c408eaf42a679&bb=WHV8CkejY0jprDS1HkWdoWTXMG1lYFF6vFo1dFFCNMXxBN_s14Yw6H4jgiX0A6BbOHSmaL5r-S062GEzWSJ0lGuRjVfKz6XAP9TLVBkBQYg%3D&xkcb=SoCy67M3DIsbB9WeDR0BbzkdCdPP&fccid=87cdacb62c7f92a5&vjs=3
Analista GIS Sênior (ArcGIS e Python) (Soluções),Imagem Geosistemas,,https://br.indeed.com/rc/clk?jk=09586ff3fb58113d&bb=WHV8CkejY0jprDS1HkWdodghUzwdtCvWJanq7Jb_5UNMNrP2e8NdijoZD8_ljZaCrlFGHuJ9wriQ61LG_tn4CV9TMRnn5H20oLbUQl45JAw%3D&xkcb=SoAG67M3DIsbB9WeDR0AbzkdCdPP&fccid=c6440c0bc4677975&vjs=3
Estágio em Sustentação,SoluCX - Solutions for Customer Experience,,https://br.indeed.com/rc/clk?jk=666190e833b9d6ad&bb=WHV8CkejY0jprDS1HkWdoWLAgvVVH3kROZQwBKPvZzM2jLb7kzV0szLzLs6rnbod9lYVlxd2eUI150bQvHkM2UdxeBDbZk9NoEPg-JkPRq4%3D&xkcb=SoCI67M3DIsbB9WeDR0HbzkdCdPP&fccid=a54a874ab750e5b6&vjs=3
(Sr.) Django Python Backend Developer (m/f/d),RoomPriceGenie AG,,https://br.indeed.com/rc/clk?jk=fc7629c5621c691d&bb=WHV8CkejY0jprDS1HkWdofAQ-qOGM_JrD9YwOx9vtv-YoPXVZ9-GTGpgn9yvUro2u-C7fM0WRmiTU4NPdVEJcRfPUXV1xdi42ec5RGx8H3Q%3D&xkcb=SoA867M3DIsbB9WeDR0GbzkdCdPP&fccid=646a095da0fe23c5&vjs=3
Estágio Talento,Lojas Quero-Quero | Programas Quero-Quero,"Cachoeirinha, RS",https://br.indeed.com/rc/clk?jk=363ef824d63dbc9d&bb=WHV8CkejY0jprDS1HkWdoSkp5k6uMDKmWoJK0UUXQOQdPIjkKDikGzbNhyPDA5g5UMguwfu82PzZcQCzbN9aNh7JU8sO6bx4-WAMps_8YO4%3D&xkcb=SoCh67M3DIsbB9WeDR0FbzkdCdPP&fccid=dd616958bd9ddc12&vjs=3
Analista de Dados,SEEL ENGENHARIA,"Duque de Caxias, RJ",https://br.indeed.com/rc/clk?jk=3e67dedd43711d96&bb=WHV8CkejY0jprDS1HkWdocDhhYnnRnoC5GBkBpOLAbnw_0Eyy24XokiBL2UlzWs-uP5lV3hbFnspm69iG7ZPdBHH49TbJmcFGcIHQJoIY7Q%3D&xkcb=SoAV67M3DIsbB9WeDR0EbzkdCdPP&fccid=5c27b9092b8b51e9&vjs=3
CIENTISTA DE DADOS,EXATO DIGITAL LTDA.,"Home office in São Paulo, SP",https://br.indeed.com/rc/clk?jk=c9dbcefba5e3451d&bb=iR-DlnPZmOWdwpEeB_tMpVXUtW8Q7NNGTUiqASS0_lLg0obVDvJRaxoyecBdYl5YIR4IW1Ur5s9_-uK22PPWgl3w83O2nzafTwviMKxmrcs%3D&xkcb=SoDR67M3DIsYa8WxNp0JbzkdCdPP&fccid=f2f841aafb5460e9&vjs=3
Analista de Dados (SQL e Python),Turing.com,,https://br.indeed.com/rc/clk?jk=d34ba2b2f0a61561&bb=iR-DlnPZmOWdwpEeB_tMpZ-DSF8rUEygSja6T4b55noEuAbSWtDhYFtiO3lwhwfdGqum9cmFiV0KWD1Sxcv7jfLyTH0uyd0cObCF56QtQZ4%3D&xkcb=SoBl67M3DIsYa8WxNp0IbzkdCdPP&fccid=2d71fc355eaef8f5&cmp=turing&ti=Analista+De+Dados&vjs=3
Instrutor PYTHON,Informatize,"Novo Hamburgo, RS",https://br.indeed.com/rc/clk?jk=f16d5e82bdc56421&bb=iR-DlnPZmOWdwpEeB_tMpXM-BwJfCsnWeodJojH803WCxl2H4fWfVkpMgr9CKrKnGU1CCLFKrKvIq06v9731MqQPB3Sh6xDk__LPbos-Hws%3D&xkcb=SoDr67M3DIsYa8WxNp0PbzkdCdPP&fccid=df8dab4849286e41&vjs=3
Assistente de Análise,Monett,,https://br.indeed.com/rc/clk?jk=6d6059a4276d3f8e&bb=iR-DlnPZmOWdwpEeB_tMpcvwbfYnkOSIZdke8MER3EO7D7ZyYbUC8MfmYYORXWLr7Gei16Lk2SOewrHPz8_FxMsfqrW3tZxwRud2vl0uzNM%3D&xkcb=SoBf67M3DIsYa8WxNp0ObzkdCdPP&fccid=b7f577f47cca62e6&vjs=3
Desenvolvedor(a) Full-stack Python,GeekHunter,,https://br.indeed.com/rc/clk?jk=969a8652fbc059f1&bb=iR-DlnPZmOWdwpEeB_tMpROGRe2gzN4mtAhb9o4N8Dt9ebadFqBiMAU2Lu3wm-esVJ6jX__CgHAvD6bff1KyVQSErLLnuZeqyQ8VvGd3Xq0%3D&xkcb=SoDC67M3DIsYa8WxNp0NbzkdCdPP&fccid=9ba8dec3013c0c90&vjs=3
Analista de TI,Dias de Rh,"São José dos Pinhais, PR",https://br.indeed.com/rc/clk?jk=78ae4d8cb42bb84b&bb=iR-DlnPZmOWdwpEeB_tMpcsH02f19Yvvbnv58timCCgfufb2HFbm0JP6I0WTvXbKiR2eSyz1eaxDsByL3Ap1fVXhOMyrmS9uw_akCvUe1NY%3D&xkcb=SoB267M3DIsYa8WxNp0MbzkdCdPP&fccid=452c10453519e9da&cmp=Dias-de-Rh&ti=Analista+De+Ti&vjs=3
Analista de Desenvolvimento Backend,Inovally Inovação para Transformar o Setor Público,"Home office in Cuiabá, MT",https://br.indeed.com/rc/clk?jk=190f0cfcc9121f3b&bb=iR-DlnPZmOWdwpEeB_tMpQMetxjOpZxuyCR_Nk-E2N1jCz0kphm8WSBSFadcboKV_hKiaxNF6ZrIOgNcj5BGobMlRNo5GW5RwGxhT_cDQ78%3D&xkcb=SoCf67M3DIsYa8WxNp0DbzkdCdPP&fccid=dd616958bd9ddc12&vjs=3
"Freelance Python Developer (Remote, South / Latin America)",VT Enterprise,"Home office in São Paulo, SP",https://br.indeed.com/rc/clk?jk=6225e0ae5b103a74&bb=iR-DlnPZmOWdwpEeB_tMpXdeS1aBE5wOjUIcN6V2XOYeXNNS-8tNtTShM9XW7IyvHwTUrMerEVU2aRHNgEJIhCggK6vGe5Ho8rUSzIGGTkA%3D&xkcb=SoAr67M3DIsYa8WxNp0CbzkdCdPP&fccid=16255684da3d9911&vjs=3
Pessoa Desenvolvedora de Jogos II (Unity) | Tapps Games,Tapps Games,,https://br.indeed.com/rc/clk?jk=f30c408eaf42a679&bb=iR-DlnPZmOWdwpEeB_tMpR3guWcqflDafAERrH6WwlpyviqyhBfFrddON_MfPQOV-XgHijdMuHzGuYMGnAABG9QRzzU3dYNbGsvFnLRoHh4%3D&xkcb=SoC267M3DIsYa8WxNp0BbzkdCdPP&fccid=87cdacb62c7f92a5&vjs=3
Analista de Dados Pleno,MANPOWER STAFFING. (Matriz),"São Paulo, SP",https://br.indeed.com/rc/clk?jk=5e74025fdb6bdfdd&bb=iR-DlnPZmOWdwpEeB_tMpeGLwJgGn9FQf-YU60pqDEjauOTJLazchIWtU9WxX93SlhbocULL-HJ8znA3tvwra5RUCmv1Bf-SKkU7j8giAYE%3D&xkcb=SoAC67M3DIsYa8WxNp0AbzkdCdPP&fccid=d3a583195b1bd825&vjs=3
Analista GIS Sênior (ArcGIS e Python) (Soluções),Imagem Geosistemas,,https://br.indeed.com/rc/clk?jk=09586ff3fb58113d&bb=iR-DlnPZmOWdwpEeB_tMpQdE0UhKjudc_isf1T5kp72_cdhkbMP68M47pcPu3Cj8r6VsTyaA80SM1jHqszrpS-w8p5Qql3QQ543ljV2xuOg%3D&xkcb=SoCM67M3DIsYa8WxNp0HbzkdCdPP&fccid=c6440c0bc4677975&vjs=3
Estágio em Sustentação,SoluCX - Solutions for Customer Experience,,https://br.indeed.com/rc/clk?jk=666190e833b9d6ad&bb=iR-DlnPZmOWdwpEeB_tMpYqafOYrHve-LAPxXsrYhHgqdt3bIYUo71p4OOgGh1n7lZdOQcWiXjAFBwynwslGLDf6z7-2rXpYa0XqjGIEf7c%3D&xkcb=SoA467M3DIsYa8WxNp0GbzkdCdPP&fccid=a54a874ab750e5b6&vjs=3
(Sr.) Django Python Backend Developer (m/f/d),RoomPriceGenie AG,,https://br.indeed.com/rc/clk?jk=fc7629c5621c691d&bb=iR-DlnPZmOWdwpEeB_tMpftCgcoxjMTA2NJuUXhKQ2IT20iHLbSJv2geuLYcyPn-MMMdrfLUhgDBglwHRFjljJWtoCMyJN6uq8i1lB5ufCw%3D&xkcb=SoCl67M3DIsYa8WxNp0FbzkdCdPP&fccid=646a095da0fe23c5&vjs=3
Estágio Talento,Lojas Quero-Quero | Programas Quero-Quero,"Cachoeirinha, RS",https://br.indeed.com/rc/clk?jk=363ef824d63dbc9d&bb=iR-DlnPZmOWdwpEeB_tMpQg0iLHWSlLm_GuXKw5_43l-tbiWYI3J8crgx8GnfUdywwZGZTUbHOqlt2vhwVTIAB_khmeqvsAICSZO6U1oaIk%3D&xkcb=SoAR67M3DIsYa8WxNp0EbzkdCdPP&fccid=dd616958bd9ddc12&vjs=3
Analista de Dados,SEEL ENGENHARIA,"Duque de Caxias, RJ",https://br.indeed.com/rc/clk?jk=3e67dedd43711d96&bb=iR-DlnPZmOWdwpEeB_tMpdftS7TahiJbzv0qnZ0RCr82yVgd0_dvkiOaF_IOcKVh1QZ46rgoq69NCOUZAwQTK-9EKnl6h9wUNbF_0ty5Ma4%3D&xkcb=SoA267M3DIsYa8WxNp0bbzkdCdPP&fccid=5c27b9092b8b51e9&vjs=3
Pessoa Desenvolvedora Python Sênior,BT Créditos,"São Paulo, SP",https://br.indeed.com/rc/clk?jk=6ac817e400ea8c54&bb=QjLSeqZVbYS3W9nkN45j-Xj-5izEU1ieKGKFiBT-5nYi_x49A5LDjK4QShu568GNb4uXGYxDMEX9dzewQlF35I7OQbJAI2btnbDdm3l1bIc%3D&xkcb=SoBO67M3DIsWXS2xNp0LbzkdCdPP&fccid=30acf9622d9c2ff7&vjs=3
Python fullstack Developer,Bhuvi IT Solutions,"São Paulo, SP",https://br.indeed.com/rc/clk?jk=83a03beeadcc263f&bb=QjLSeqZVbYS3W9nkN45j-SYSl0TdB0xiBq8JhuYH18XbbNEhtDq2qlJE0ImcDgjy-YFVN_iitMTScYAQRuW8awUdGlE-o-eeKAyidiSUeAU%3D&xkcb=SoD667M3DIsWXS2xNp0KbzkdCdPP&fccid=686db7fd9124b26b&cmp=Bhuvi-IT-Solutions&ti=Full+Stack+Developer&vjs=3
Analista de Testes de Software/QA,ANDRITZ AG,"Home office in Porto Alegre, RS",https://br.indeed.com/rc/clk?jk=a77199eec447be8b&bb=QjLSeqZVbYS3W9nkN45j-VDHOWt-3VFU0vFuW9Q69vRMTdahJffkDTaW77AiMbNNrxKC3mZcQLviuel0kZaB8OcF9drqf5GbN7HwgeN-PG8%3D&xkcb=SoBn67M3DIsWXS2xNp0JbzkdCdPP&fccid=31dc3ff412a8dc30&vjs=3
Analista funcional junior - edc,Netvagas,,https://br.indeed.com/rc/clk?jk=f0804f66141424ac&bb=QjLSeqZVbYS3W9nkN45j-dsWcQChI78JU3EBuPIsHxFVlXh_UhJRDFVF4L2aT4HF44rICD3z5-J7pPxFdQbmkSrghDlVVUGAE3vJcHO3rBc%3D&xkcb=SoDT67M3DIsWXS2xNp0IbzkdCdPP&fccid=248e71f02a698bfc&vjs=3
Cientista de dados - estatística,Netvagas,"Vila Velha, AP",https://br.indeed.com/rc/clk?jk=771028d9f135aa71&bb=QjLSeqZVbYS3W9nkN45j-SYsJJyiPoTysmaJ0q4cFIhZezRbGHMDakZKn2UEtW1xRIeNNlDUB7Njyuio-g6-u5Gju9QWeTZcK5OdUYWScE4%3D&xkcb=SoBd67M3DIsWXS2xNp0PbzkdCdPP&fccid=248e71f02a698bfc&vjs=3
Cientista de Dados Machine Learning Pl,Qintess,"Home office in Brasília, DF",https://br.indeed.com/rc/clk?jk=c2df85db87ec3cc1&bb=QjLSeqZVbYS3W9nkN45j-RzSAZe8nlUaQXgk8KqlmaHxnZeVi84N0dsGy5xOJYjL-evGeBWUJqyBkhIOfgGNp-nW5XKeCAmmPkeZrgbW8xg%3D&xkcb=SoDp67M3DIsWXS2xNp0ObzkdCdPP&fccid=909410f258b6c61b&vjs=3
Programador python,CAVOK AVIAÇÃO,"Pinhais, PR",https://br.indeed.com/rc/clk?jk=dbdaeeffc3fb3ca1&bb=QjLSeqZVbYS3W9nkN45j-fikp6gw5u3hgs_jTuwmyaQfmOoJ_p5GwICKnB7FkK3IhsmhR1kbFMrfaUcrBIOYmCJh4MDTxgudx6Btolninss%3D&xkcb=SoB067M3DIsWXS2xNp0NbzkdCdPP&fccid=ea666f11ce6a4f11&vjs=3
Python Software Developer,DATAINFO SOLUCOES EM TECNOLOGIA DA INFORMACAO LTDA,"Recife, PE",https://br.indeed.com/rc/clk?jk=f4ea4e244ac48c9c&bb=QjLSeqZVbYS3W9nkN45j-X38DGurLVbmIIB9fh-E8Bk2H9-WNDaFUb_3kkBk6QZuv6Ljmqpwq-WknELCJJi_5gdZmEeq3W5vJWAyXQZQSJ4%3D&xkcb=SoDA67M3DIsWXS2xNp0MbzkdCdPP&fccid=28b47bd3b5238589&vjs=3
BOOTCAMP DESENVOLVEDORA / DESENVOLVEDOR JÚNIOR DE BACKEND - OSASCO,OEmprego,"Remoto híbrido in Osasco, SP",https://br.indeed.com/rc/clk?jk=cd31ddb509af6478&bb=QjLSeqZVbYS3W9nkN45j-RijIVisd1GB_WeF8AocXHS8p5j_ew8n4Wcvo97xj9yateK6pQl6YKKQ6C6d8DyrfUnzZ4DWdoqz1AyVRjqjMXo%3D&xkcb=SoAp67M3DIsWXS2xNp0DbzkdCdPP&fccid=919b31f0a22ef58e&vjs=3
